Store,n,rmspe,rmse,mape,mean_true
246,36.0,0.10436389835785768,760.4321268331759,8.029979290246045,7205.388888888889
635,36.0,0.10407102061005298,492.1440394639971,7.546754120932729,5873.222222222223
446,36.0,0.10401755752884974,506.64443914212444,9.13075575511334,4545.027777777777
621,36.0,0.10400259733826714,616.6184635395683,7.947401126033935,5893.527777777777
141,36.0,0.10399658794739809,532.0727834252596,8.257075086039261,5535.083333333333
838,36.0,0.10396037897009032,781.4576129994493,8.17204743153114,8361.083333333334
497,36.0,0.10394333380533502,883.8118036738634,7.794580980174111,8728.083333333334
613,36.0,0.10390085384554995,615.1056785761735,8.049952511761473,6085.583333333333
20,36.0,0.10386232169912679,812.7474066433886,8.004938517372256,8532.5
241,36.0,0.10382961235477589,684.6814850838217,7.74875178725452,6454.833333333333
747,36.0,0.10379811142520569,726.6187269449713,7.152369362330571,8023.611111111111
895,36.0,0.10378032033776363,1104.8257699911428,8.746460849485727,10246.555555555555
373,36.0,0.10377573252370154,490.9049865796522,8.15111853206711,4659.583333333333
69,36.0,0.10374885024588355,965.2342855017222,7.596266515065913,9198.972222222223
596,36.0,0.10358563064264831,523.9656002696029,8.56553654192706,5011.166666666667
914,36.0,0.10343056031442051,853.0515566962397,7.804530159453926,9261.694444444445
363,36.0,0.10340637048951522,708.043024954392,7.435868270660745,7409.666666666667
1091,36.0,0.10340106332224158,917.2371513377191,8.820925424578864,8725.277777777777
595,36.0,0.10335731404812185,1301.313355049263,8.280959081414974,14085.277777777777
386,36.0,0.10333056263534936,780.5713033319558,7.622272769383569,7065.861111111111
936,36.0,0.10332973513696031,731.7242622928932,7.5121665620969305,6446.583333333333
263,36.0,0.10332032717220062,496.98265955443424,8.610151765038268,4403.833333333333
934,36.0,0.10325556478298097,786.1299732249246,7.669623704767002,6659.75
888,36.0,0.10322956421903144,837.996738918627,8.039894479041756,8908.833333333334
1007,36.0,0.10319755372717217,708.038679196802,8.601961067123895,7318.694444444444
487,36.0,0.10316353144404745,735.4132269542407,7.990948050445396,7248.416666666667
885,36.0,0.10306095727850761,586.7993595854446,7.9022231492836115,5758.694444444444
1008,36.0,0.10303874269993199,534.4787945685928,7.9346643979217895,5647.361111111111
1102,36.0,0.10301854372707779,660.6914017712868,8.632247740009737,6850.138888888889
955,36.0,0.10278307331903701,472.00363676498546,7.326536251591734,4953.527777777777
1077,36.0,0.10278030371089591,393.94224012766665,8.094409782414932,4312.25
1009,36.0,0.10273708532970754,475.2123939556246,8.494206967273286,4891.777777777777
943,36.0,0.10268738391907281,702.0301084966856,8.760238445024822,7106.166666666667
144,36.0,0.10266614166126381,755.3691816483671,8.264095744502654,7476.583333333333
778,36.0,0.1025988516527608,600.1522896768303,7.617329933011703,5696.138888888889
87,36.0,0.10259653478661866,587.8012330717115,9.017260152565717,5797.944444444444
906,36.0,0.10259562216587452,1028.468572942253,8.675844804034636,10588.0
180,36.0,0.10257978165689398,711.9935815398742,8.193998040581372,7262.833333333333
192,36.0,0.10257801865781796,1257.343888480662,7.417296642918762,13048.833333333334
935,36.0,0.10253869934177054,591.0020962152103,7.921929480079751,5922.777777777777
250,36.0,0.10248051334202314,833.2864203532386,7.828727270204001,8858.972222222223
75,36.0,0.10247785320631547,651.0468686017011,8.881134302582275,6421.722222222223
1092,36.0,0.1024562363871482,1295.8174394683315,6.914895684732973,12497.805555555555
783,36.0,0.10239568086018207,699.0188170714117,7.111513325942753,6965.861111111111
132,36.0,0.10237065070304627,744.6596052607402,8.040678716314506,7541.25
741,36.0,0.10236413467280907,868.4656223333834,7.918584769461036,8294.083333333334
752,36.0,0.10232595705163881,469.34672507014415,8.804546889689242,5026.722222222223
18,36.0,0.10223734796256084,682.5543922515309,7.587327591257694,6938.666666666667
115,36.0,0.1021659421717579,772.595996650645,7.8011161983498685,8175.805555555556
313,36.0,0.10215233738526897,718.0305437790952,8.216527601940028,7032.527777777777
493,36.0,0.1020964558528299,978.3108027714239,7.935966387389133,8783.527777777777
864,36.0,0.10208940443636355,407.7797911510426,6.896282364897094,4481.75
109,36.0,0.10200417842341426,697.0719430538583,8.44108744497724,6548.972222222223
884,36.0,0.1020001925718939,638.2173438010033,8.236953055903108,6198.472222222223
658,36.0,0.10190373586777521,532.4641623301952,8.052368559825227,5677.777777777777
1104,36.0,0.1018871699632023,537.9860621540175,8.459704444549532,5556.722222222223
499,36.0,0.10187482994279279,581.9973668521696,8.768338098252373,5566.027777777777
7,36.0,0.1018044717170136,1046.3757560814145,7.943046023011004,9874.861111111111
646,36.0,0.10177130160992352,480.63371615129165,7.714356728681823,5078.333333333333
103,36.0,0.10176465020017905,462.9918293541274,8.088738699271577,4698.166666666667
195,36.0,0.10163746657888842,1108.9260850471248,7.65156401475137,10534.666666666666
1046,36.0,0.1015590205413418,847.5931512487588,8.222546231307213,9005.055555555555
147,36.0,0.10152740256704496,791.1743937606313,7.260523780438054,8056.0
11,36.0,0.10152182273578046,712.7481932344875,7.561053630698184,7392.916666666667
694,36.0,0.10150682998331309,877.8708280846695,7.730669897277958,8440.861111111111
1068,36.0,0.10139324322924119,508.9346487772252,7.601512615253708,4644.055555555556
452,36.0,0.1013899406276624,507.16777352934434,8.116671088882518,4825.194444444444
202,36.0,0.1013777974145758,671.0583466303804,7.600392229907879,6537.194444444444
528,36.0,0.10130519127135085,1077.1005495454203,7.947055515752817,10562.027777777777
162,36.0,0.10129060284683167,762.2761578180246,7.508245219526172,7879.194444444444
156,36.0,0.10119135178998274,597.5544852915706,8.576451542136464,6553.75
482,36.0,0.10115247894764307,754.5074306417417,8.048798183379365,7657.472222222223
764,36.0,0.1011309014421544,390.7961560998007,8.858449266982417,3991.8333333333335
729,36.0,0.10112482386749194,958.0912528940612,7.028210316283056,10630.833333333334
538,36.0,0.10106968009956487,391.00529749030704,8.414535095931846,3902.8055555555557
471,36.0,0.10099788228924805,733.8857195983484,7.90357458200832,7081.916666666667
1018,36.0,0.1009709346144426,1083.3426301458646,8.166831393999713,11088.166666666666
643,36.0,0.10094695167711668,852.3281688472928,7.594356447062911,7775.305555555556
581,36.0,0.10090115079267122,548.41108930266,8.69641033940904,4997.194444444444
616,36.0,0.10083476608319052,751.8818310353149,8.137149903523817,7984.944444444444
504,36.0,0.10065971977405891,736.4904125981047,8.31185133022376,6862.638888888889
