model,split_val_start,split_val_end,split_test_start,split_test_end,rmspe_test,rmse_test,mape_test,best_iteration,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_data_in_leaf,lambda_l1,lambda_l2,min_gain_to_split
LightGBM,2015-05-09,2015-06-19,2015-06-20,2015-07-31,0.13152138713349268,810.9362705998842,9.046453976098531,2232.0,207.0,16.0,0.08319031011701257,0.9472383199652197,0.7445679032876682,4.0,104.0,3.282484001797043,0.020757458522633266,2.231918931008913
Prophet_store_262,,,,,0.03165421985407475,540.927831964503,2.3655529612741804,,,,,,,,,,,
Prophet_store_562,,,,,0.062001663395048506,939.5967980481093,5.129837203501392,,,,,,,,,,,
Prophet_store_733,,,,,0.08007155387754088,1098.1865283636596,6.554565503274253,,,,,,,,,,,
