Weekday,n,rmspe,rmse,mape,mean_true
Monday,6682.0,0.10951342552410503,876.252080532102,8.32077015904798,8155.155791679138
Tuesday,6682.0,0.10278968419027767,708.4210613761812,7.710029930821312,7291.272672852439
Wednesday,6682.0,0.12879969477288572,812.4905511729091,8.980723052302421,6793.906614785992
Thursday,6680.0,0.1288158834462891,875.1217274774979,9.72969444319505,6790.274850299401
Friday,6681.0,0.1265988110603684,680.4986633504749,7.625170856714584,7000.015716210148
Saturday,6682.0,0.1780486122078164,887.2664530341892,11.85194374098211,5635.816521999402
Sunday,193.0,0.1680922154084426,805.1919038840479,11.13703615395927,8037.020725388601
