number,value,state,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves
161,938.8433627250269,PRUNED,0.8499198881609964,7,0.6355025501015419,0.003386901287470415,2.4619082253211358e-06,0.11395181097023632,13,183,0.6838143591766038,437
162,2648.4967105857927,PRUNED,0.8954315598539417,5,0.7246995322047303,5.222174356801752e-05,0.8008203842326208,0.010524707028837912,14,495,2.640883279501536,507
163,939.2421778702284,PRUNED,0.8534178483793304,6,0.6317780117410335,0.05765663055541535,2.538440823056234e-08,0.14834590509217968,16,72,0.9500348279512724,322
164,1008.7060840349789,PRUNED,0.8940412595644743,7,0.6107833364839753,4.56918168571126,1.6034062273257117e-05,0.12014266885064293,16,566,1.146371576409547,456
165,1560.971713765622,PRUNED,0.6218519286921003,0,0.8252505698981362,8.591585090575667e-06,0.0014949611046983005,0.07544182003598893,16,488,3.71729379057783,284
166,1769.2632216894726,PRUNED,0.9315101606343901,6,0.6002959891888471,3.258911035609686,0.00012787491237664967,0.05880160842213727,10,398,1.651706309442216,402
167,944.8865397156297,PRUNED,0.8502224630321028,5,0.6586363684551788,0.2574003880779679,1.6088422549501333e-06,0.1290816224035347,16,225,0.40297298536443293,270
168,1622.1479567033289,PRUNED,0.8182758883893696,5,0.6562698655895636,0.0003560317609059629,0.000301025934913478,0.06998639531152467,10,63,1.9659231296037771,497
169,999.4207915749801,PRUNED,0.9332880118565389,5,0.6415550877848017,1.9540706607514975,2.7657554625071187e-05,0.1281538390866135,12,247,2.4849653856473806,201
170,1458.049594636634,PRUNED,0.8066983336183662,5,0.626717954451207,4.033245952090743,3.206960260841869e-05,0.08791800814831967,14,272,2.1796166795335274,217
171,892.315721665857,PRUNED,0.8345819832120848,5,0.9791343525230857,2.232214972173887,5.5624736666844115,0.1069850741753,16,217,4.538576777967868,358
172,951.8110313007979,PRUNED,0.9646976792886001,5,0.6592864146288626,0.41901192458117853,2.1451956727100764e-06,0.13694147540952156,12,360,0.5172055629903141,365
173,905.4028310931235,PRUNED,0.8501455279130808,2,0.7237543606503958,5.606225413570893,3.24445809480898e-05,0.12853118625824045,12,132,0.5160413275278573,352
174,1374.907702256815,PRUNED,0.9458046657287058,6,0.6247392995698556,3.170731448249732,6.00925938714358e-07,0.09721009857890392,13,214,1.3142080544164312,343
175,1614.4983837267876,PRUNED,0.8493163105458994,5,0.6007200552816401,0.11855341799574916,3.335628805508148e-05,0.07101362977022928,12,149,2.096918404779387,433
176,882.3880118637916,PRUNED,0.8254280012377639,5,0.7082891200390222,5.276931620162658,1.0226076099941288e-06,0.1462385634739034,13,100,0.42467242191374577,400
177,936.5651942532951,PRUNED,0.9438112195703121,4,0.6953253752832413,5.184705678904512,5.216237297964794e-08,0.12993130177229759,16,298,0.6648184588922241,420
178,1388.0426815646124,PRUNED,0.8280617284760508,6,0.6115293815375742,4.932399152001492,3.6346048107421476e-05,0.09457006375602107,12,114,4.324627859193418,446
179,2208.8291856206215,PRUNED,0.9560700879823998,4,0.9971113694224081,0.012685275458149714,9.716502886409535e-07,0.03134330824555916,9,937,4.130762025386162,398
180,1533.0374881451937,PRUNED,0.9492841769261029,6,0.617639202399457,7.345218525773436,3.662449130356613e-06,0.07842676142068528,16,105,0.055151055867680265,361
181,2770.168747144483,PRUNED,0.8102687300010004,1,0.9290270049883596,0.0010869284494120785,9.438367613169059e-06,0.005803408311024394,12,1748,0.45683279536033616,126
182,1434.2524838724441,PRUNED,0.9052079259070459,4,0.6511878373786332,0.04359507176274599,1.6493669329058396e-06,0.08968894610381768,14,425,4.435461524190179,346
183,940.433137631958,PRUNED,0.8590064448407905,5,0.6055096344891209,0.003073595441130563,6.980970556381651e-08,0.1301708637175246,12,168,3.504928175469862,442
184,0.12578244473429445,COMPLETE,0.881175587685259,3,0.6691013910740893,2.339224776744442,8.526400503870011e-07,0.14751703294191926,11,107,3.5045014193740176,428
185,1544.04235585036,PRUNED,0.8917670435253243,3,0.652572848867298,0.8529648395162668,8.991780616610205e-08,0.08021973756199108,8,240,3.984715421029334,368
186,2237.6749371203896,PRUNED,0.6988643981398407,5,0.7284205746064348,0.00018019078425761883,0.5342558378375439,0.030372041477916195,8,1433,1.3433064668214265,83
187,885.2386707044594,PRUNED,0.8924346997877964,6,0.6320577772938197,2.7697675911488853,2.006166925684022e-06,0.1263019352453686,12,167,2.4773663919174673,449
188,1675.0684164465747,PRUNED,0.8034157477782843,6,0.8544154432744898,0.1231585178166078,9.066313696436222,0.06607401174598743,15,746,2.1858652641896,401
189,1741.1135110982843,PRUNED,0.9679487860082518,4,0.976030322518186,5.232507038567296,5.563421687521142,0.0599794338052617,15,180,2.131207694048806,312
190,1580.0241463264679,PRUNED,0.7242083764144629,3,0.8565244095634232,1.778063767495407,0.056458622885878225,0.07427414847669048,14,73,2.143549759961022,211
191,1369.1284081780661,PRUNED,0.8256498180453005,2,0.7267135848632736,0.07551712151706182,1.9904134822026876e-05,0.09869949782014782,12,298,3.769734391103378,465
192,985.4521539539858,PRUNED,0.8085075989367638,2,0.6260177984746417,0.0879482407044712,1.9549037455687934e-08,0.1318704985259087,11,305,2.947738550589754,439
193,1562.2316619570709,PRUNED,0.9159254470367432,3,0.6079660650662476,0.03580380963081633,3.8274268728626227e-08,0.07549995327089434,14,106,4.480155990825234,481
194,935.7281910793757,PRUNED,0.8593209688394874,4,0.6088969557921391,5.287437290829409,6.982826014141192e-06,0.14815287516188283,12,196,3.703528942198397,441
195,1098.1547265644626,PRUNED,0.7267686017182284,4,0.9947331704513729,7.351793850924983,4.413213341055824,0.11070828398629791,13,167,2.8488490327237947,193
196,951.2376956145116,PRUNED,0.8212688659085057,4,0.6054695583886787,7.540839516755192,2.3212117547537666e-05,0.12063912359819132,13,60,1.330938810496622,310
197,1405.2159155924676,PRUNED,0.7869309633883742,4,0.9621805082771259,6.983490017035542,3.649132364077684,0.09385438323157182,16,161,3.2737631977222192,289
198,1455.1709549308662,PRUNED,0.6428626650032581,1,0.8169818781298119,0.5517707724469791,0.07249861532222408,0.08971085303822494,16,79,4.339024406195381,113
199,915.1632357765064,PRUNED,0.9518878939871991,1,0.6682026307539476,3.951117205524171,1.6732976220862187e-08,0.10615615533717662,12,108,3.8514324197968195,443
