Store,rmspe_lgbm,rmse_lgbm,mape_lgbm,sales_sum_test,rmspe_prophet,rmse_prophet,mape_prophet
338,0.13553923169229468,863.8660863811943,9.673046624781138,245053.0,0.15252554279872352,1075.3345994873803,11.107339674726683
867,0.13562462913623283,492.89185317938444,9.516439397217228,196421.0,0.14005660772162173,508.5497998107459,9.785083102218293
992,0.13566727702591844,602.7829370093862,9.32439309754461,181237.0,0.18689609642173555,792.7574333326986,14.058189267383408
841,0.13580339248585818,331.8356490983541,11.238093905576479,90513.0,0.14607085617582116,364.26708594726426,11.898913287881298
696,0.13589413991962418,1209.933488123876,11.460798161356008,326743.0,0.12189409047078728,1098.908586172012,9.980201071376873
509,0.1359030202545976,762.426188216195,9.892066308913288,218036.0,0.15331989439327753,1019.9577420796722,12.694124742287821
177,0.1359425129385252,438.61216005476206,10.519383220033435,132697.0,0.15148966764041416,537.0198419989177,11.495808242131567
329,0.13612910679994028,807.3183833173354,9.85945054243193,239273.0,0.1592951725432293,978.0618784438961,13.382423573507177
410,0.1363185284077262,751.3035880689868,9.95417182711556,225446.0,0.20394482909885966,1043.696718307201,15.89801528652171
881,0.1363978474904504,542.3086183593902,11.486563961558893,145176.0,0.19243093004039552,811.1567871012018,13.900361163756758
419,0.13645852542286516,638.9071111927373,11.490739866467232,184055.0,0.16059045854489187,833.2274313785664,13.426662679675182
662,0.13652416949828972,994.3042411121261,10.632217886850253,281804.0,0.21046807267924766,1470.5260265808972,16.718065270503853
176,0.136758661689843,560.238861498261,9.556365137372962,177551.0,0.183681692660002,798.010565901734,13.314545524854804
93,0.13680727862918027,714.2262706520315,10.063412688023751,206575.0,0.1722779966164988,995.0418923474596,14.661461466836858
268,0.13693843925044688,683.387234092764,10.41748452920869,169287.0,0.21564343815415132,941.831531426193,16.63718828693955
705,0.13698093254320087,931.0418028227417,10.919045730157896,282935.0,0.2118301375717453,1410.9370135365477,16.175223168211197
242,0.1371115774091488,528.8794933983447,11.300877373447962,146052.0,0.14825585638894773,650.0012493230118,12.416579781851812
223,0.13716515412399558,928.2637912488958,9.472140620102405,255470.0,0.13944324060931965,1164.2970078216888,11.616050143057535
829,0.13740748011517104,664.0693378947993,9.341189225822943,204043.0,0.1457982508571896,734.5903414583173,10.964990732626642
455,0.13745336355632426,1136.8452605236027,10.776822329499577,293326.0,0.16505911510959625,1215.3018949510981,12.890933777371313
405,0.13760204410829127,511.98626943106666,10.728156859390275,159547.0,0.2864884900664335,965.9626124630659,19.487757709980425
973,0.1378601902331082,1022.1621256282556,10.853469642494309,248372.0,0.2613431103838386,1844.8040149288302,22.27638659588688
625,0.13823904287994324,789.2529818084574,9.074250527755243,221711.0,0.20577934948535412,1107.347463494134,15.837713033590777
750,0.13824636232622944,712.4879206898827,10.979130785493844,175826.0,0.19846159962928497,883.4708838625717,16.870332820351027
453,0.13839118065655476,1344.1890107484785,10.687543584282649,435542.0,0.16379764886299145,1636.046382934267,13.930019852104811
852,0.1385125677899055,501.2714883517292,10.191964898730452,156212.0,0.16662643302042704,665.3816339389975,12.97404567045495
99,0.13852315262277096,733.779596818046,11.58463879986514,202640.0,0.1377510014938376,727.7407562315469,11.274505668770281
475,0.13866492257033208,799.8200798167218,9.721775097381101,220783.0,0.19989300277911093,1100.6054082292235,15.377012369126058
571,0.13911990389834386,1095.816158418252,10.614904688066346,301225.0,0.13929985629940803,1148.9951380007744,11.1481622290791
60,0.13919149632528952,1086.126379265616,10.818806506095349,315036.0,0.18097694289159913,1336.9547955968974,15.156381462871026
717,0.13937524379927899,732.1406903311757,10.304799806959638,188610.0,0.1746481879776305,1074.4932934491635,13.342890644745909
530,0.13943972284442158,1024.9816106839348,11.647556142992148,291674.0,0.1263776897572041,888.9669184606736,9.971045280481885
924,0.13945359681733888,587.4508456229239,11.747702723539225,159263.0,0.18959016507272317,780.2447370471847,14.322137998192169
299,0.1395675071762383,936.2983466430829,10.225229039759787,351198.0,0.14356783249672733,1069.9385862997328,11.730105519357501
461,0.1400175207609638,602.286394375608,10.572104065871498,168226.0,0.1851460069792521,941.6105644655094,14.689652753888252
724,0.14024630959587897,807.2442916228412,8.60267397752035,242318.0,0.17022744352557706,937.114381519805,11.537558538858704
350,0.14064501922068018,833.8954434085398,8.945205111090416,254606.0,0.16697003777407493,1086.4378478342596,12.075735301086098
822,0.1412044107273698,920.0918612085613,10.8733256180258,268186.0,0.13901777103367352,924.7749778338538,11.247759314612365
688,0.14122034275449766,418.5991621027909,10.181296739261864,128120.0,0.19143847787629129,570.7213634105766,13.44213969579492
220,0.14139287257713168,740.7150955809348,11.932843667265397,169471.0,0.18017119643780796,765.2369313723789,14.423018905236553
298,0.1414001154760648,1112.9121916255312,10.288453141961218,305897.0,0.13353065353958912,1057.7137044598749,10.331790878904492
24,0.1415286766835933,1214.0953249885354,9.238550447445675,350085.0,0.19445995587614448,1818.39019476749,15.41409565513148
730,0.14155326894380543,910.519357740308,10.474258142550703,257995.0,0.12088542743128891,750.1915137451502,8.656930152139834
739,0.1418387569301041,1428.3277711342123,11.673370999913885,375354.0,0.19803483620453896,1921.9173928182213,17.339261688193414
541,0.14203222033560217,843.2287831360925,10.36043264429787,244018.0,0.20687308563743514,1235.6897048555925,16.766818515467875
330,0.14204025071284848,500.9667888241413,11.18829558329406,141017.0,0.24741226553959017,837.4442907185346,20.264299987271748
1011,0.14205209707315877,931.5455510079498,11.016790550971972,253652.0,0.16211720831943377,1067.3117679447987,12.909609500393735
486,0.14208688794103624,606.0498662195376,11.2676906776137,155070.0,0.1605022839817571,707.1502018667616,12.260399909862892
552,0.1421020456996969,1137.0798665390496,10.950374522610383,273787.0,0.19617069913475976,1685.9396595691653,15.467296920452434
543,0.1422361286957336,370.0843307086355,11.469391367114646,94639.0,0.21379631775543892,578.8402804911614,16.162998315463238
170,0.14235681283597432,592.1356820366683,9.682619911289988,147874.0,0.1609703322775004,623.4503602077915,11.462451176407733
483,0.14246940588953425,548.6930985855114,11.318806617329333,170309.0,0.1725990608448992,805.8504592994832,14.301433018612158
300,0.14276635274024826,1024.8094596930916,10.564067651034454,274532.0,0.16035571899227985,1214.5891214302806,12.354138961676808
42,0.14297778241037698,1377.3908518394692,10.517048319305001,359928.0,0.17273157960872934,1730.8311593929611,13.042092454426605
