Store,n,rmspe_lgbm,rmse_lgbm,mape_lgbm,mean_true
292,18.0,2.010943826091961,4607.6657088872,107.41089038149734,6374.611111111111
909,22.0,0.914555985146143,5950.333678751405,52.74720087732461,13695.454545454546
876,22.0,0.5098089224439074,4858.093248662623,32.52389125291584,10458.181818181818
782,36.0,0.4792981131892138,1099.6664143641906,21.73710002010173,5301.305555555556
183,31.0,0.3278074894256955,2327.368791753563,27.403290081103616,6093.129032258064
534,36.0,0.3241970087902114,1695.0039196815922,21.35734715773332,7641.777777777777
636,36.0,0.2508295383683529,1588.6118662514948,20.81663261262084,6597.361111111111
612,36.0,0.2402793722429358,1186.2781583027122,15.758075078417033,6439.833333333333
279,36.0,0.2392425569540258,1982.0745149798256,17.19329322621651,9747.305555555557
710,36.0,0.2362981599272164,997.3009488307164,18.4504149917601,4667.75
1014,36.0,0.2351118214595379,1664.9737774161506,14.746014867377,9851.722222222224
695,36.0,0.2277787074847848,1027.5813170731635,16.397516100671073,5507.944444444444
269,36.0,0.226189693666404,1433.4777071108788,15.082385194280295,7711.861111111111
1073,36.0,0.2239645775276818,1622.0852313222672,14.252583584496376,9074.055555555557
198,36.0,0.2221336112917576,402.8272106732476,14.899941580263745,2762.3611111111113
575,36.0,0.219541827806752,968.1557142059276,15.209634024162424,5140.25
516,36.0,0.2172226325880703,944.5282133682636,13.94662489904834,5814.0
271,36.0,0.210474304637093,1007.3222944269548,14.836465293677945,7631.805555555556
956,36.0,0.2093943573509769,504.39106608688985,13.99772093189272,3069.972222222222
1111,36.0,0.2040408138920263,892.6181192593941,13.44688837641457,4673.222222222223
518,36.0,0.2018855262920782,1137.0759724833863,15.489686419864713,6021.388888888889
984,36.0,0.199463526816811,1126.56258390092,13.45932666378844,6135.0
607,36.0,0.1985141592982457,487.95393072295127,12.676926080332828,3636.305555555556
13,36.0,0.1971158594470597,1195.6783173402375,14.364249826354095,5244.583333333333
123,36.0,0.1969483388432991,924.8215043391272,11.242331397120466,8125.833333333333
737,36.0,0.1955708325774573,1000.2975471888536,14.235092500818896,6133.777777777777
898,36.0,0.1943908415091436,997.9458157416984,14.039573022611808,6477.055555555556
437,36.0,0.1941878485086205,1274.710815661285,15.446154937114368,7271.472222222223
1019,36.0,0.1910485821335591,1460.7806267081698,13.38378109026474,8500.805555555555
256,36.0,0.1865050217730706,1303.23843860452,11.9793073689736,8121.75
501,36.0,0.1845650919676904,608.7663535313525,11.800349210850486,4858.527777777777
139,36.0,0.1842845302977756,958.9168400268478,13.03836171789284,6461.527777777777
994,36.0,0.1837282972951076,810.3659406945169,12.735347408804836,4754.194444444444
988,36.0,0.1819158998329344,858.3018926531128,13.757071752814603,5090.277777777777
155,36.0,0.1799646522909381,1162.8914606901967,13.29441368203426,6631.194444444444
1003,36.0,0.1793930589080885,1300.9666708071898,13.640593480448404,6644.444444444444
947,36.0,0.1792025446615646,1065.9604136863973,12.023992001498614,7589.861111111111
926,36.0,0.1787401554114077,1146.8999084282325,12.451453729597633,7187.055555555556
701,36.0,0.1782180333449782,971.328972390739,12.841476150236764,5786.5
58,36.0,0.1777802382000977,1259.8079219776323,13.54019260513574,7121.583333333333
582,36.0,0.1760719396561731,915.4405103848574,11.600223376421548,6160.361111111111
1069,36.0,0.1755789213483471,783.0044608757909,11.067256115703229,6233.833333333333
675,36.0,0.1751587597006055,619.2571722646892,12.62523405831258,3619.6111111111113
27,36.0,0.1749002028350094,1313.485391193178,10.606887982864158,9335.055555555557
685,36.0,0.1744493733798447,977.7014766492208,13.967958834898496,5493.5
244,36.0,0.1744139918400803,863.2882873205317,12.621646831834513,5197.361111111111
983,36.0,0.1730218182300395,1310.8977851501863,12.407695688253176,8204.111111111111
1028,36.0,0.172896733125754,771.8162167133007,11.844199673927504,4905.777777777777
1039,36.0,0.1728880116952405,1254.018603514089,10.64452396213536,7962.833333333333
102,36.0,0.1724461898242944,1098.598436697012,11.907255088031777,6897.638888888889
427,36.0,0.1724424120200765,1374.1894299167027,13.054354224841818,7540.0
86,36.0,0.1720257276648628,693.2962951496905,12.577741567941828,4389.25
657,36.0,0.1720073924959456,892.2259783904535,13.128676297178083,5512.888888888889
550,36.0,0.1718341007214507,859.4601568753039,12.115335700184964,5168.972222222223
863,42.0,0.1716928560617373,849.5742157478791,11.245460898334406,8074.333333333333
206,36.0,0.1715155338272826,1135.972599619788,12.469910488026668,7564.083333333333
967,36.0,0.1713340288650366,1131.4165187997107,11.025846258800597,7922.138888888889
587,36.0,0.1710024257257704,1731.322910610584,13.782903066988297,10725.75
127,36.0,0.1707393111622043,917.6609109989924,12.94851180146503,5395.611111111111
916,36.0,0.1706509006529556,1002.5074660293528,12.792333951653232,5538.388888888889
46,36.0,0.1706276397343075,944.640134316654,13.452998533393584,5217.166666666667
302,36.0,0.1700099768752212,604.584854548296,12.837995986630371,3775.555555555556
839,36.0,0.1687320059376675,478.9398934597641,13.257931382458343,3731.3888888888887
149,36.0,0.1686632148178151,897.0191169161676,13.14550608319044,5564.222222222223
1107,36.0,0.167213250176715,1004.4207184883858,12.84548956908536,6293.111111111111
719,36.0,0.1670729572290595,825.7342970085949,14.092316755151485,5300.166666666667
970,36.0,0.1668090617583525,444.96608978102375,13.312339148550045,2765.6388888888887
751,36.0,0.1667605234669781,579.2158318559084,12.532097992840065,4005.777777777778
1037,36.0,0.1666684928917333,928.9000567594026,12.347821722551284,6208.361111111111
954,36.0,0.1661299132819825,977.544504843036,11.777021201861777,6535.027777777777
438,36.0,0.1660090745173607,852.7695885722528,12.501869958148648,5576.611111111111
554,36.0,0.1656265029823364,897.6409782569832,13.326167378837797,5560.472222222223
324,36.0,0.1653440129227271,745.3501697172585,12.380984682066666,5141.083333333333
850,36.0,0.1652943132310453,982.1704133632632,12.962946691410762,6128.833333333333
623,36.0,0.1652232295919732,968.288685845542,11.800243705510614,6579.555555555556
76,36.0,0.1641442610819522,1292.784403080112,9.984375380198198,9166.555555555557
877,37.0,0.1638420639194067,739.1835078006352,10.05997733985655,6540.8378378378375
957,36.0,0.1634373539799541,902.000303271128,10.006276437083097,7841.777777777777
