Store,rmspe_lgbm,rmspe_prophet,rmse_lgbm,rmse_prophet,mape_lgbm,mape_prophet,winner
1114,0.0186957361877917,0.0206540818332171,332.57811214425965,367.3145036039572,1.4243940144397975,1.8029356945753088,lgbm
817,0.0340387509581208,0.043492534835405,524.2895992272007,633.9162799982057,2.4976209055796588,3.2914157511448687,lgbm
262,0.0348949216512289,0.0322816843172321,604.1721725187829,553.186795345351,2.5572063398580465,2.4504604852632776,prophet
562,0.0417989627603612,0.0619073187632204,622.110671279951,936.1584614669248,3.1118804563800047,5.107202191865879,lgbm
259,0.0507589031115264,0.066860824189306,628.2716959636904,822.8206258442275,3.9954184620927222,5.828703457402835,lgbm
733,0.0545566316319512,0.0861851825408409,765.6139637811782,1176.0851393139687,4.315868418471672,6.994908584907828,lgbm
1097,0.0583217767589403,0.0646683528332303,645.7986061736402,744.7421821274561,4.835280907077463,4.894722164568634,lgbm
698,0.058973360192845,0.0702983374200302,937.8408245505044,1167.2331195697334,4.631445150251185,5.895527745306575,lgbm
270,0.0599969825440948,0.0879933264972659,646.9944636034462,989.7646848453492,4.731940502809164,6.9551375128327,lgbm
842,0.0647614323361087,0.0618479375343116,990.8307019738072,1013.6089440969802,4.210822435873064,4.709659165505997,prophet
251,0.0662392694605587,0.0835450152556177,982.2476889638904,1205.8379958754088,4.302685919125734,4.768403496472865,lgbm
682,0.0669699949068832,0.0727596575787088,613.9829452564528,820.4771511071814,5.031445743877903,5.7128524645115215,lgbm
948,0.06714503831627,0.069290121569257,550.1976628624622,640.2631422819384,5.349623443229353,5.608406634565907,lgbm
768,0.067923840924921,0.1035615895554717,870.0379846447164,1404.3228674828822,5.358772137447538,8.82926891510215,lgbm
788,0.0686302059570405,0.0656802126935562,1030.131052046227,979.4642609456496,4.946461046047034,4.842562799235575,prophet
512,0.0686820987059942,0.0982409567578466,459.3872397322486,720.7979554337534,5.7747572467526505,7.571260637413337,lgbm
280,0.0689523923365316,0.0873002815762838,453.4508729969109,556.4966061831458,5.540247461623982,6.850527703874534,lgbm
532,0.0694308656955095,0.0872503159812072,796.8500665327734,923.7912012075544,5.474009653652033,6.809538048955778,lgbm
383,0.069862663455743,0.0731694855390496,1084.3650285208532,1089.2573215234786,5.271803834259574,5.544851744064945,lgbm
84,0.0698687611323392,0.0998852227524219,843.4158281984934,1152.3707217349786,4.980263220570831,7.085928665749969,lgbm
431,0.0710573766369778,0.1199772034665878,722.1247579480656,1097.7495037115918,5.938551571240505,9.616601307696309,lgbm
539,0.0714315935874636,0.075192314745775,858.7810165257639,994.2938487560064,5.5535708028669895,5.7956884984360535,lgbm
523,0.0716373029062648,0.0713708936837444,948.2056879984008,979.5233964593492,5.995181175505196,5.955683984790466,prophet
1,0.0728092568225609,0.0938133016709237,325.1325760870417,423.39756959316065,5.57463513693226,7.509047766520947,lgbm
963,0.0728362671347026,0.1551864992240867,696.8769401203712,1318.3244414467122,5.6211684450167985,12.580522947325532,lgbm
1101,0.0731871834393417,0.0885608216666275,709.0732948891463,879.9470419425901,6.050845839286571,6.996315017096835,lgbm
134,0.073350593258876,0.0771498269153827,329.20718581026654,329.3516904173151,6.20353047514248,6.4111425683613374,lgbm
686,0.0733689302771005,0.1519182693849228,432.74339532236314,862.4604683322448,5.984700983250727,11.806830195006938,lgbm
104,0.0744867781549592,0.0803662875140247,786.675126081097,874.6292671443167,5.731090640182654,6.743837346564025,lgbm
560,0.0749817785696761,0.0876494868065195,1050.803027908358,1277.9953701422517,6.135985302751035,7.471112591353829,lgbm
676,0.0754477540898266,0.0951980221481176,635.1520827957007,848.7572444109044,5.628611570352161,7.681431817463673,lgbm
260,0.0760934954985343,0.0707569628217445,473.38015937485943,456.9284690515696,6.0475178161640954,5.478717727365625,prophet
